date,open,high,low,close,volume,dividends,stock splits,symbol,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,label_tbm,label_trend
2021-10-13 00:00:00+00:00,56038.2578125,57688.66015625,54370.97265625,57401.09765625,41684252783,0.0,0.0,BTC-USD,3002.6122850997344,945.9848042870285,2056.627480812706,68.62914864145245,49292.426953125,48071.337031250005,45071.303789062506,51406.83263878205,48211.752999235614,1,1
2021-10-14 00:00:00+00:00,57372.83203125,58478.734375,56957.07421875,57321.5234375,36615791366,0.0,0.0,BTC-USD,3089.128750650554,826.0010158702785,2263.1277347802757,68.34321922256093,50016.515625,48238.55171875,45078.15767578125,51970.13652437424,48568.99889877539,1,1
2021-10-15 00:00:00+00:00,57345.90234375,62757.12890625,56868.14453125,61593.94921875,51780081801,0.0,0.0,BTC-USD,3462.5288500775423,959.5208922378133,2503.007957839729,74.48885717000057,50960.3833984375,48531.586328125006,45097.37642578125,52886.690114314784,49079.78126426459,0,1
2021-10-16 00:00:00+00:00,61609.52734375,62274.4765625,60206.12109375,60892.1796875,34250964237,0.0,0.0,BTC-USD,3659.63815226304,925.3041555386485,2734.3339967243915,72.01580814310077,51844.5654296875,48768.2565625,45107.2488671875,53649.11769271338,49543.0125749797,0,-1
2021-10-17 00:00:00+00:00,60887.65234375,61645.5234375,59164.46875,61553.6171875,29032367511,0.0,0.0,BTC-USD,3825.127484148972,872.6347899396642,2952.492694209308,72.92811085568957,52810.459765625,49021.280859375,45120.42279296875,54401.92716840735,50014.01667743148,0,-1
2021-10-18 00:00:00+00:00,61548.8046875,62614.66015625,60012.7578125,62026.078125,38055562075,0.0,0.0,BTC-USD,3948.882363300072,797.111735272611,3151.770628027461,73.59040321448926,53860.036523437506,49285.20578125,45135.074140625,55128.03678332093,50485.07791066946,0,-1
2021-10-19 00:00:00+00:00,62043.1640625,64434.53515625,61622.93359375,64261.9921875,40471196346,0.0,0.0,BTC-USD,4179.203320745517,821.9461541744445,3357.2571665710725,76.51817314589054,54994.91796875,49629.3459375,45159.4625390625,55997.937298004654,51025.34905878046,0,-1
2021-10-20 00:00:00+00:00,64284.5859375,66930.390625,63610.67578125,65992.8359375,40788955582,0.0,0.0,BTC-USD,4450.100970359526,874.2750430307628,3575.8259273287636,78.50474893308542,56105.015039062506,50005.868906250005,45201.407265625,56949.83240652802,51612.309328534175,-1,1
2021-10-21 00:00:00+00:00,66002.234375,66600.546875,62117.41015625,62210.171875,45908121370,0.0,0.0,BTC-USD,4309.878337916256,587.2419284699936,3722.6364094462624,65.46906085089003,56809.676562500004,50273.131796875,45218.66535156251,57450.817117811064,52027.91178133676,0,1
2021-10-22 00:00:00+00:00,62237.890625,63715.0234375,60122.796875,60692.265625,38434082775,0.0,0.0,BTC-USD,4029.815339985871,245.7431444316867,3784.0721955541844,61.085679086865845,57458.7154296875,50500.42265625,45226.837285156245,57759.52649944811,52367.69036344121,1,1
2021-10-23 00:00:00+00:00,60694.62890625,61743.87890625,59826.5234375,61393.6171875,26882546034,0.0,0.0,BTC-USD,3820.4172145135162,29.076015167465357,3791.341199346051,62.340336406927456,58118.3986328125,50727.787500000006,45242.84357421875,58105.630374500666,52721.64827811018,1,1
2021-10-24 00:00:00+00:00,61368.34375,61505.8046875,59643.34375,60930.8359375,27316183882,0.0,0.0,BTC-USD,3575.9043131945655,-172.34950892118832,3748.253822115754,60.94405899062361,58709.2953125,50947.51171875,45267.25306640625,58374.697570976794,53043.577205929396,1,1
2021-10-25 00:00:00+00:00,60893.92578125,63729.32421875,60691.80078125,63039.82421875,31064911614,0.0,0.0,BTC-USD,3511.8217113698047,-189.14568859675956,3700.9673999665642,64.81200327897862,59285.5458984375,51173.24,45290.832421875006,58818.99534695519,53435.58689270668,0,1
2021-10-26 00:00:00+00:00,63032.76171875,63229.02734375,59991.16015625,60363.79296875,34878965587,0.0,0.0,BTC-USD,3208.1212061068727,-394.2769550877533,3602.398161194626,57.08647747890017,59535.6630859375,51327.84515625,45301.4263671875,58966.11892998326,53707.281248629944,1,1
2021-10-27 00:00:00+00:00,60352.0,61435.18359375,58208.1875,58482.38671875,43657076893,0.0,0.0,BTC-USD,2783.535739520732,-655.0899373391153,3438.6256768598473,52.36089100096845,59769.483203125,51561.2703125,45294.87212890625,58920.0491955801,53894.540286673866,1,1
